unit,unitLabel,quant,quantLabel
http://qudt.org/vocab/unit/A,Ampere,http://qudt.org/vocab/quantitykind/CurrentLinkage,Current Linkage
http://qudt.org/vocab/unit/A,Ampere,http://qudt.org/vocab/quantitykind/DisplacementCurrent,Displacement Current
http://qudt.org/vocab/unit/A,Ampere,http://qudt.org/vocab/quantitykind/ElectricCurrent,Electric Current
http://qudt.org/vocab/unit/A,Ampere,http://qudt.org/vocab/quantitykind/ElectricCurrentPhasor,Electric Current Phasor
http://qudt.org/vocab/unit/A,Ampere,http://qudt.org/vocab/quantitykind/MagneticTension,Magnetic Tension
http://qudt.org/vocab/unit/A,Ampere,http://qudt.org/vocab/quantitykind/MagnetomotiveForce,Magnetomotive Force
http://qudt.org/vocab/unit/A,Ampere,http://qudt.org/vocab/quantitykind/TotalCurrent,Total Current
http://qudt.org/vocab/unit/A-HR,Ampere Hour,http://qudt.org/vocab/quantitykind/ElectricCharge,Electric Charge
http://qudt.org/vocab/unit/A-M2,Ampere Square Metre,http://qudt.org/vocab/quantitykind/MagneticDipoleMoment,Magnetic Dipole Moment
http://qudt.org/vocab/unit/A-M2-PER-J-SEC,Ampere Square Metre Per Joule Second,http://qudt.org/vocab/quantitykind/MagneticDipoleMoment,Magnetic Dipole Moment
http://qudt.org/vocab/unit/A-M2-PER-J-SEC,Ampere Square Metre Per Joule Second,http://qudt.org/vocab/quantitykind/GyromagneticRatio,Gyromagnetic Ratio
http://qudt.org/vocab/unit/A-PER-CentiM,Ampere Per Centimetre,http://qudt.org/vocab/quantitykind/LinearElectricCurrentDensity,Linear Electric Current Density
http://qudt.org/vocab/unit/A-PER-CentiM,Ampere Per Centimetre,http://qudt.org/vocab/quantitykind/MagneticFieldStrength_H,Magnetic Field Strength
http://qudt.org/vocab/unit/A-PER-CentiM2,Ampere Per Square Centimetre,http://qudt.org/vocab/quantitykind/ElectricCurrentDensity,Electric Current Density
http://qudt.org/vocab/unit/A-PER-DEG_C,Ampere per Degree Celsius,http://qudt.org/vocab/quantitykind/ElectricCurrentPerUnitTemperature,Electric Current per Unit Temperature
http://qudt.org/vocab/unit/A-PER-J,Ampere per Joule,http://qudt.org/vocab/quantitykind/ElectricCurrentPerUnitEnergy,Electric Current per Unit Energy
http://qudt.org/vocab/unit/A-PER-M,Ampere per Metre,http://qudt.org/vocab/quantitykind/LinearElectricCurrentDensity,Linear Electric Current Density
http://qudt.org/vocab/unit/A-PER-M,Ampere per Metre,http://qudt.org/vocab/quantitykind/MagneticFieldStrength_H,Magnetic Field Strength
http://qudt.org/vocab/unit/A-PER-M,Ampere per Metre,http://qudt.org/vocab/quantitykind/Coercivity,Coercivity
http://qudt.org/vocab/unit/A-PER-M2,Ampere per Square Metre,http://qudt.org/vocab/quantitykind/ElectricCurrentDensity,Electric Current Density
http://qudt.org/vocab/unit/A-PER-M2,Ampere per Square Metre,http://qudt.org/vocab/quantitykind/DisplacementCurrentDensity,Displacement Current Density
http://qudt.org/vocab/unit/A-PER-M2,Ampere per Square Metre,http://qudt.org/vocab/quantitykind/TotalCurrentDensity,Total Current Density
http://qudt.org/vocab/unit/A-PER-M2-K2,Ampere per Square Metre Square Kelvin,http://qudt.org/vocab/quantitykind/RichardsonConstant,Richardson Constant
http://qudt.org/vocab/unit/A-PER-MilliM,Ampere Per Millimetre,http://qudt.org/vocab/quantitykind/LinearElectricCurrentDensity,Linear Electric Current Density
http://qudt.org/vocab/unit/A-PER-MilliM,Ampere Per Millimetre,http://qudt.org/vocab/quantitykind/MagneticFieldStrength_H,Magnetic Field Strength
http://qudt.org/vocab/unit/A-PER-MilliM2,Ampere Per Square Millimetre,http://qudt.org/vocab/quantitykind/ElectricCurrentDensity,Electric Current Density
http://qudt.org/vocab/unit/A-PER-RAD,Ampere per Radian,http://qudt.org/vocab/quantitykind/ElectricCurrentPerAngle,Electric Current per Angle
http://qudt.org/vocab/unit/A-SEC,Ampere Second,http://qudt.org/vocab/quantitykind/ElectricCharge,Electric Charge
http://qudt.org/vocab/unit/AC,Acre,http://qudt.org/vocab/quantitykind/Area,Area
http://qudt.org/vocab/unit/AC-FT,Acre Foot,http://qudt.org/vocab/quantitykind/Volume,Volume
